34,1,Starting Record,2025-11-11 13:06:13.847743
35,1,Starting Record,2025-11-11 13:13:31.039588
36,1,Canceled transaction and stop record by camera!,2025-11-11 13:15:22.030114
37,1,Starting Record,2025-11-11 13:31:04.697383
38,1,Starting Record,2025-11-11 21:21:44.764311
39,1,Canceled transaction and stop record by camera!,2025-11-11 21:22:45.438314
40,1,Starting Record,2025-11-11 21:25:25.602423
41,1,Canceled transaction and stop record by camera!,2025-11-11 21:26:09.95368
42,1,Starting Record,2025-11-11 21:27:45.972061
43,1,Canceled transaction and stop record by camera!,2025-11-11 21:28:25.070614
44,1,Starting Record,2025-11-11 21:29:29.351916
45,1,Starting Record,2025-11-11 21:30:04.957229
46,1,Canceled transaction and stop record by camera!,2025-11-11 21:30:08.38964
47,1,Starting Record,2025-11-11 21:32:33.485626
48,1,Canceled transaction and stop record by camera!,2025-11-11 21:33:16.49003
49,1,Starting Record,2025-11-11 21:34:23.399035
50,1,Creating transaction successful and stop record by camera!,2025-11-11 21:34:50.544842
51,1,Starting Record,2025-11-11 21:34:59.115402
52,1,Starting Record,2025-11-11 21:35:30.185159
53,1,Canceled transaction and stop record by camera!,2025-11-11 21:35:37.41609
54,1,Starting Record,2025-11-11 21:35:55.021898
55,1,Canceled transaction and stop record by camera!,2025-11-11 21:36:36.033583
56,1,Starting Record,2025-11-11 21:38:12.649056
57,1,Starting Record,2025-11-11 21:38:52.289774
58,1,Starting Record,2025-11-11 21:40:57.01891
59,1,Starting Record,2025-11-11 21:41:23.481099
60,1,Creating transaction successful and stop record by camera!,2025-11-11 21:41:57.337542
61,1,Starting Record,2025-11-21 14:14:51.352798
62,1,Staying in OrderScreen & opening Camera,2025-11-21 14:14:52.306852
63,1,Staying in CartScreen,2025-11-21 14:15:09.825806
64,1,Staying in PaymentScreen,2025-11-21 14:15:12.529438
65,1,Creating transaction fail and stop record by camera!,2025-11-21 14:15:23.402211
66,1,Creating transaction successful and stop record by camera!,2025-11-21 14:15:23.408104
67,1,Staying in FirstScreen & opening Camera,2025-11-21 14:15:23.485372
