120,1,Staying in FirstScreen & opening Camera,2025-11-21 17:25:57.904139
121,1,Starting Record,2025-11-21 17:30:04.999764
122,1,Staying in OrderScreen & opening Camera,2025-11-21 17:30:06.572633
123,1,Staying in CartScreen,2025-11-21 17:30:11.48085
124,1,Staying in PaymentScreen,2025-11-21 17:30:13.728308
125,1,Creating transaction fail and stop record by camera!,2025-11-21 17:30:16.945
126,1,Creating transaction successful and stop record by camera!,2025-11-21 17:30:16.950057
127,1,Staying in FirstScreen & opening Camera,2025-11-21 17:30:30.696991
128,1,Staying in FirstScreen & opening Camera,2025-11-21 17:33:19.742354
129,1,Starting Record,2025-11-21 17:33:32.957971
130,1,Staying in OrderScreen & opening Camera,2025-11-21 17:33:34.918488
131,1,Staying in CartScreen,2025-11-21 17:33:39.318281
132,1,Staying in OrderScreen & opening Camera,2025-11-21 17:33:47.33187
133,1,Staying in CartScreen,2025-11-21 17:33:50.33564
134,1,Staying in PaymentScreen,2025-11-21 17:33:52.186381
138,1,Staying in FirstScreen & opening Camera,2025-11-21 17:38:27.948209
135,1,Creating transaction fail and stop record by camera!,2025-11-21 17:34:17.458176
136,1,Creating transaction successful and stop record by camera!,2025-11-21 17:34:17.500649
137,1,Staying in FirstScreen & opening Camera,2025-11-21 17:34:17.529941
141,1,Staying in CartScreen,2025-11-21 17:39:07.598639
142,1,Staying in PaymentScreen,2025-11-21 17:39:09.775288
143,1,Creating transaction fail and stop record by camera!,2025-11-21 17:39:11.539408
144,1,Creating transaction successful and stop record by camera!,2025-11-21 17:39:11.543079
139,1,Starting Record,2025-11-21 17:39:00.856346
140,1,Staying in OrderScreen & opening Camera,2025-11-21 17:39:03.135818
145,1,Staying in FirstScreen & opening Camera,2025-11-21 17:39:22.770024
146,1,Starting Record,2025-11-21 17:40:46.397628
147,1,Staying in OrderScreen & opening Camera,2025-11-21 17:40:47.814863
148,1,Staying in CartScreen,2025-11-21 17:40:53.08997
149,1,Staying in PaymentScreen,2025-11-21 17:40:55.917087
150,1,Creating transaction successful and stop record by camera!,2025-11-21 17:41:09.022815
151,1,Staying in FirstScreen & opening Camera,2025-11-21 17:41:09.042759
152,1,Staying in FirstScreen & opening Camera,2025-11-21 17:44:03.053648
153,1,Starting Record,2025-11-21 17:44:18.112719
154,1,Staying in OrderScreen & opening Camera,2025-11-21 17:44:18.67389
155,1,Staying in CartScreen,2025-11-21 17:44:23.693344
156,1,Staying in PaymentScreen,2025-11-21 17:44:26.657789
157,1,Creating transaction successful and stop record by camera!,2025-11-21 17:44:28.377186
158,1,Staying in FirstScreen & opening Camera,2025-11-21 17:44:39.687761
159,1,Staying in FirstScreen & opening Camera,2025-11-21 17:47:19.935285
160,1,Starting Record,2025-11-21 17:47:40.792659
161,1,Staying in OrderScreen & opening Camera,2025-11-21 17:47:43.048406
162,1,Staying in CartScreen,2025-11-21 17:47:47.806051
163,1,Staying in PaymentScreen,2025-11-21 17:47:50.254328
164,1,Creating transaction successful and stop record by camera!,2025-11-21 17:47:53.129995
165,1,Staying in FirstScreen & opening Camera,2025-11-21 17:48:28.957423
166,1,Canceled transaction and stop record by camera!,2025-11-21 17:48:28.972747
167,1,Staying in FirstScreen & opening Camera,2025-11-21 17:48:56.216834
168,1,Starting Record,2025-11-21 17:50:04.777933
169,1,Staying in OrderScreen & opening Camera,2025-11-21 17:50:07.761448
170,1,Staying in CartScreen,2025-11-21 17:50:13.858647
171,1,Staying in PaymentScreen,2025-11-21 17:50:15.394846
172,1,Creating transaction successful and stop record by camera!,2025-11-21 17:50:17.274262
173,1,Staying in FirstScreen & opening Camera,2025-11-21 17:50:51.646965
174,1,Canceled transaction and stop record by camera!,2025-11-21 17:50:51.656
175,1,Staying in FirstScreen & opening Camera,2025-11-21 17:52:59.687079
176,1,Starting Record,2025-11-21 17:53:16.962325
177,1,Staying in OrderScreen & opening Camera,2025-11-21 17:53:18.67952
178,1,Staying in CartScreen,2025-11-21 17:53:22.47664
179,1,Staying in PaymentScreen,2025-11-21 17:53:25.140123
180,1,Creating transaction successful and stop record by camera!,2025-11-21 17:53:53.492387
181,1,Staying in FirstScreen & opening Camera,2025-11-21 17:53:53.535327
182,1,Starting Record,2025-11-21 18:00:10.72904
183,1,Staying in OrderScreen & opening Camera,2025-11-21 18:00:11.75591
184,1,Staying in CartScreen,2025-11-21 18:00:18.588303
185,1,Staying in PaymentScreen,2025-11-21 18:00:21.972151
186,1,Creating transaction successful and stop record by camera!,2025-11-21 18:00:34.211984
187,1,Staying in FirstScreen & opening Camera,2025-11-21 18:00:34.221704
188,1,Starting Record,2025-11-21 18:00:51.664069
189,1,Staying in OrderScreen & opening Camera,2025-11-21 18:00:52.912954
190,1,Staying in CartScreen,2025-11-21 18:00:57.361627
191,1,Staying in PaymentScreen,2025-11-21 18:00:59.111934
192,1,Creating transaction successful and stop record by camera!,2025-11-21 18:01:13.449757
193,1,Staying in FirstScreen & opening Camera,2025-11-21 18:01:13.463039
194,1,Starting Record,2025-11-21 18:03:58.503792
195,1,Staying in OrderScreen & opening Camera,2025-11-21 18:03:59.404339
196,1,Staying in CartScreen,2025-11-21 18:04:03.883667
197,1,Staying in PaymentScreen,2025-11-21 18:04:05.604446
198,1,Creating transaction successful and stop record by camera!,2025-11-21 18:04:15.778176
199,1,Staying in FirstScreen & opening Camera,2025-11-21 18:04:15.798997
200,1,Starting Record,2025-11-21 18:04:26.117495
201,1,Staying in OrderScreen & opening Camera,2025-11-21 18:04:27.290684
202,1,Staying in CartScreen,2025-11-21 18:04:31.133081
203,1,Staying in PaymentScreen,2025-11-21 18:04:32.664611
204,1,Creating transaction successful and stop record by camera!,2025-11-21 18:04:42.937131
205,1,Staying in FirstScreen & opening Camera,2025-11-21 18:04:42.951597
206,1,Staying in FirstScreen & opening Camera,2025-11-24 13:43:33.612611
207,1,Starting Record,2025-11-24 13:43:44.728767
208,1,Staying in OrderScreen & opening Camera,2025-11-24 13:43:46.10865
209,1,Staying in CartScreen,2025-11-24 13:43:49.986902
210,1,Staying in OrderScreen & opening Camera,2025-11-24 13:43:54.328592
211,1,Staying in CartScreen,2025-11-24 13:44:01.53072
212,1,Staying in PaymentScreen,2025-11-24 13:44:03.756957
213,1,Creating transaction successful and stop record by camera!,2025-11-24 13:44:09.022817
214,1,Staying in FirstScreen & opening Camera,2025-11-24 13:44:25.833498
215,1,Starting Record,2025-11-24 13:47:54.951219
216,1,Staying in OrderScreen & opening Camera,2025-11-24 13:47:56.079692
217,1,Staying in CartScreen,2025-11-24 13:48:02.631911
218,1,Staying in PaymentScreen,2025-11-24 13:48:04.505727
219,1,Creating transaction successful and stop record by camera!,2025-11-24 13:48:09.588115
220,1,Staying in FirstScreen & opening Camera,2025-11-24 13:48:34.278488
221,1,Starting Record,2025-11-24 15:46:44.928113
222,1,Staying in OrderScreen & opening Camera,2025-11-24 15:46:46.705989
223,1,Staying in CartScreen,2025-11-24 15:46:54.785351
224,1,Staying in PaymentScreen,2025-11-24 15:47:01.313218
225,1,Creating transaction successful and stop record by camera!,2025-11-24 15:47:22.857638
226,1,Staying in FirstScreen & opening Camera,2025-11-24 15:47:22.876517
227,1,Starting Record,2025-11-24 15:51:20.609643
228,1,Staying in OrderScreen & opening Camera,2025-11-24 15:51:22.404428
229,1,Staying in CartScreen,2025-11-24 15:51:28.195717
230,1,Staying in PaymentScreen,2025-11-24 15:51:29.609316
231,1,Canceled transaction and stop record by camera!,2025-11-24 15:52:00.774572
232,1,Staying in FirstScreen & opening Camera,2025-11-24 15:52:13.323675
